assay,cellType,dataSubtype,dataType,diagnosis,individualID,organ,platform,sex,species,specimenID,tissue,experimentalCondition,experimentalTimePoint,genePerturbationTechnology,genePerturbationType,genePerturbed,modelSystem,timePointUnit,transplantationDonorSpecies,transplantationDonorTissue,transplantationRecipientTissue,transplantationType,compoundDoseUnit,compoundName,drugScreenType,secondCompoundName,consortium,fileFormat,fundingAgency,resourceType,libraryPrep,readLength,readPairOrientation,readStrandOrigin,runType,nf1Genotype,nf2Genotype,study,id,name,createdOn,createdBy,etag,type,currentVersion,parentId,benefactorId,projectId,modifiedOn,modifiedBy,dataFileHandleId,studyId,studyName,readPair,tumorType,path
RNA-seq,NA,processed,geneExpression,Neurofibromatosis type 1,patient1,skin,Illumina HiSeq 2500,Female,Homo sapiens,patient1tumor1,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fastq,CTF,experimentalData,polyAselection,50bp,inward,NA,pairedEnd,-/-,unknown,NA,syn7989617,SL106284_1.fastq.gz,1483560568129,3342573,1af86aec-b29c-42f0-a55a-b172c355f8ca,file,1,syn7989616,syn4984617,syn4984604,1679362849321,3421893,14314809,syn4984604,Cutaneous Neurofibroma Data Resource,1,,Cutaneous Neurofibroma Data Resource/Data/RNA-Seq/Merged Fastq files/SL106284_1.fastq.gz
RNA-seq,NA,processed,geneExpression,Neurofibromatosis type 1,patient1,skin,Illumina HiSeq 2500,Female,Homo sapiens,patient1tumor1,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fastq,CTF,experimentalData,polyAselection,50bp,inward,NA,pairedEnd,-/-,unknown,NA,syn7989625,SL106284_2.fastq.gz,1483560648679,3342573,c159fb3b-a9cf-4ff4-bb55-289e07e75b13,file,1,syn7989616,syn4984617,syn4984604,1679362849374,3421893,14314875,syn4984604,Cutaneous Neurofibroma Data Resource,2,,Cutaneous Neurofibroma Data Resource/Data/RNA-Seq/Merged Fastq files/SL106284_2.fastq.gz
RNA-seq,NA,processed,geneExpression,Neurofibromatosis type 1,patient1,skin,Illumina HiSeq 2500,Female,Homo sapiens,patient1tumor2,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fastq,CTF,experimentalData,polyAselection,50bp,inward,NA,pairedEnd,-/-,unknown,NA,syn7989633,SL106285_1.fastq.gz,1483560738473,3342573,3c94779b-22d5-47ee-8569-146bb26e6aee,file,1,syn7989616,syn4984617,syn4984604,1679362849597,3421893,14314881,syn4984604,Cutaneous Neurofibroma Data Resource,1,,Cutaneous Neurofibroma Data Resource/Data/RNA-Seq/Merged Fastq files/SL106285_1.fastq.gz
RNA-seq,NA,processed,geneExpression,Neurofibromatosis type 1,patient1,skin,Illumina HiSeq 2500,Female,Homo sapiens,patient1tumor2,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fastq,CTF,experimentalData,polyAselection,50bp,inward,NA,pairedEnd,-/-,unknown,NA,syn7989635,SL106285_2.fastq.gz,1483560830210,3342573,c0fa1e31-a89a-4789-b82b-ebc4a06b1948,file,1,syn7989616,syn4984617,syn4984604,1679362849772,3421893,14314882,syn4984604,Cutaneous Neurofibroma Data Resource,2,,Cutaneous Neurofibroma Data Resource/Data/RNA-Seq/Merged Fastq files/SL106285_2.fastq.gz
RNA-seq,NA,processed,geneExpression,Neurofibromatosis type 1,patient1,skin,Illumina HiSeq 2500,Female,Homo sapiens,patient1tumor4,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fastq,CTF,experimentalData,polyAselection,50bp,inward,NA,pairedEnd,-/-,unknown,NA,syn7989640,SL106286_1.fastq.gz,1483560903990,3342573,d0317ad6-5829-45dd-972f-5f4664a081ad,file,1,syn7989616,syn4984617,syn4984604,1679362849824,3421893,14314893,syn4984604,Cutaneous Neurofibroma Data Resource,1,,Cutaneous Neurofibroma Data Resource/Data/RNA-Seq/Merged Fastq files/SL106286_1.fastq.gz
RNA-seq,NA,processed,geneExpression,Neurofibromatosis type 1,patient1,skin,Illumina HiSeq 2500,Female,Homo sapiens,patient1tumor4,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fastq,CTF,experimentalData,polyAselection,50bp,inward,NA,pairedEnd,-/-,unknown,NA,syn7989655,SL106286_2.fastq.gz,1483560976522,3342573,f5050c46-7a76-4f84-a767-b97642113e84,file,1,syn7989616,syn4984617,syn4984604,1679362849875,3421893,14314916,syn4984604,Cutaneous Neurofibroma Data Resource,2,,Cutaneous Neurofibroma Data Resource/Data/RNA-Seq/Merged Fastq files/SL106286_2.fastq.gz
RNA-seq,NA,processed,geneExpression,Neurofibromatosis type 1,patient2,skin,Illumina HiSeq 2500,Female,Homo sapiens,patient2tumor1,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fastq,CTF,experimentalData,polyAselection,50bp,inward,NA,pairedEnd,-/-,unknown,NA,syn7989668,SL106287_1.fastq.gz,1483561055710,3342573,cadc53f0-46c0-49e2-ad93-376afb6478ce,file,1,syn7989616,syn4984617,syn4984604,1679362849932,3421893,14314940,syn4984604,Cutaneous Neurofibroma Data Resource,1,,Cutaneous Neurofibroma Data Resource/Data/RNA-Seq/Merged Fastq files/SL106287_1.fastq.gz
RNA-seq,NA,processed,geneExpression,Neurofibromatosis type 1,patient2,skin,Illumina HiSeq 2500,Female,Homo sapiens,patient2tumor1,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fastq,CTF,experimentalData,polyAselection,50bp,inward,NA,pairedEnd,-/-,unknown,NA,syn7989682,SL106287_2.fastq.gz,1483561129911,3342573,bc80eaf6-69cd-49ce-a567-20064f297c20,file,1,syn7989616,syn4984617,syn4984604,1679362849985,3421893,14314987,syn4984604,Cutaneous Neurofibroma Data Resource,2,,Cutaneous Neurofibroma Data Resource/Data/RNA-Seq/Merged Fastq files/SL106287_2.fastq.gz
RNA-seq,NA,processed,geneExpression,Neurofibromatosis type 1,patient2,skin,Illumina HiSeq 2500,Female,Homo sapiens,patient2tumor2,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fastq,CTF,experimentalData,polyAselection,50bp,inward,NA,pairedEnd,-/-,unknown,NA,syn7989693,SL106288_1.fastq.gz,1483561204724,3342573,f3034252-c7d0-4d63-a552-d96313e9190e,file,1,syn7989616,syn4984617,syn4984604,1679362850038,3421893,14315009,syn4984604,Cutaneous Neurofibroma Data Resource,1,,Cutaneous Neurofibroma Data Resource/Data/RNA-Seq/Merged Fastq files/SL106288_1.fastq.gz
RNA-seq,NA,processed,geneExpression,Neurofibromatosis type 1,patient2,skin,Illumina HiSeq 2500,Female,Homo sapiens,patient2tumor2,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fastq,CTF,experimentalData,polyAselection,50bp,inward,NA,pairedEnd,-/-,unknown,NA,syn7989705,SL106288_2.fastq.gz,1483561289247,3342573,2b471b7a-e6f6-43f5-8153-c185e9d52983,file,1,syn7989616,syn4984617,syn4984604,1679362850095,3421893,14315031,syn4984604,Cutaneous Neurofibroma Data Resource,2,,Cutaneous Neurofibroma Data Resource/Data/RNA-Seq/Merged Fastq files/SL106288_2.fastq.gz
