id,name,currentVersion,dataFileHandleId,dataFileName,dataFileSizeBytes,dataFileMD5Hex,BiospecimenKey,DataUseCodes,DatasetViewKey,EntityId,FileAlias,FileAssay,FileDescription,FileDesign,FileFormat,FileLevel,FileSpecies,FileTissue,FileTumorType,FileUrl,FileViewId,StudyKey,FileDataUseCodes,FileLongitudinalEventType,FileLongitudinalGroup,FileLongitudinalSequenceIdentifier,FileLongitudinalSequentialTimeElapsed,FileLongitudinalTimeElapsedUnit,FileLongitudinalTotalTimeElapsed
syn60247805,collection_0000064652_2021-01-11_11_49_23.csv,1,142028049,collection_0000064652_2021-01-11_11_49_23.csv,22286,3ccb295c73ea50bfd9138249e875a0b1,CA263001-B279,NA,syn63100173,syn60247805,syn60247805,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247805,syn60247805,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247807,collection_0000064656_2021-01-09_01_04_16.csv,1,142028054,collection_0000064656_2021-01-09_01_04_16.csv,27074,2bbc66a000e2e1be70cf410e5eaea9b5,CA263001-B287,NA,syn63100173,syn60247807,syn60247807,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247807,syn60247807,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247808,collection_0000064648_2021-01-08_22_50_58.csv,1,142028053,collection_0000064648_2021-01-08_22_50_58.csv,24248,9b1dcc2d9b07b08221f5536bf72e4e56,CA263001-B255,NA,syn63100173,syn60247808,syn60247808,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247808,syn60247808,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247809,collection_0000064651_2021-01-08_23_18_12.csv,1,142028051,collection_0000064651_2021-01-08_23_18_12.csv,32300,ad0310d3ba54e64bdee1cbd77033e0e4,CA263001-B239,NA,syn63100173,syn60247809,syn60247809,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247809,syn60247809,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247810,collection_0000064663_2021-01-09_01_43_00.csv,1,142028057,collection_0000064663_2021-01-09_01_43_00.csv,117737,ba4b44cea4aa554f7a18d7deea164ade,CA263001-B359,NA,syn63100173,syn60247810,syn60247810,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247810,syn60247810,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247811,collection_0000064662_2021-01-11_11_19_30.csv,1,142028055,collection_0000064662_2021-01-11_11_19_30.csv,47087,eb9833d939909dee299bef1dc3c3ef86,CA263001-B355,NA,syn63100173,syn60247811,syn60247811,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247811,syn60247811,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247812,collection_0000064661_2021-01-09_01_29_24.csv,1,142028061,collection_0000064661_2021-01-09_01_29_24.csv,90209,59a6886f12f05ad7f37f7ec55a58becb,CA263001-B351,NA,syn63100173,syn60247812,syn60247812,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247812,syn60247812,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247813,collection_0000064646_2021-01-08_22_25_26.csv,1,142028056,collection_0000064646_2021-01-08_22_25_26.csv,7946,e6331455c873bcfaf5e56f10151f49b6,CA263001-B235,NA,syn63100173,syn60247813,syn60247813,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247813,syn60247813,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247814,collection_0000064679_2021-01-11_18_41_00.csv,1,142028058,collection_0000064679_2021-01-11_18_41_00.csv,20237,10fd72f391c2e97c5aeaf020cc75ab62,CA263001-B284,NA,syn63100173,syn60247814,syn60247814,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247814,syn60247814,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247815,collection_0000064647_2021-01-08_22_38_00.csv,1,142028050,collection_0000064647_2021-01-08_22_38_00.csv,83399,5ed8a15a700807d193676547fcbb7fad,CA263001-B251,NA,syn63100173,syn60247815,syn60247815,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247815,syn60247815,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247817,collection_0000064650_2021-01-11_12_00_53.csv,1,142028059,collection_0000064650_2021-01-11_12_00_53.csv,48581,c27b8d6b3d9aa5752774a6d49eba35ff,CA263001-B271,NA,syn63100173,syn60247817,syn60247817,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247817,syn60247817,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247818,collection_0000064667_2021-01-09_02_17_37.csv,1,142028062,collection_0000064667_2021-01-09_02_17_37.csv,63956,7cd2c1e2f530dd5735016b67dfceb0b8,CA263001-B331,NA,syn63100173,syn60247818,syn60247818,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247818,syn60247818,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247819,collection_0000064653_2021-01-11_11_49_17.csv,1,142028063,collection_0000064653_2021-01-11_11_49_17.csv,14546,b8c70bf3ed552de83590efa2effc6022,CA263001-B315,NA,syn63100173,syn60247819,syn60247819,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247819,syn60247819,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247820,collection_0000064684_2021-01-11_19_42_18.csv,1,142028064,collection_0000064684_2021-01-11_19_42_18.csv,16796,57ee10f6f03fcced5c1447de362d8fd5,CA263001-B348,NA,syn63100173,syn60247820,syn60247820,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247820,syn60247820,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247821,collection_0000064657_2021-01-11_11_18_54.csv,1,142028060,collection_0000064657_2021-01-11_11_18_54.csv,49325,9d4b2a326ade572e2f44c0d5aa7bb5ba,CA263001-B291,NA,syn63100173,syn60247821,syn60247821,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247821,syn60247821,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247822,collection_0000064676_2021-01-11_18_08_06.csv,1,142028067,collection_0000064676_2021-01-11_18_08_06.csv,52241,b6866d5bdb55098f8550985c7931ff81,CA263001-B280,NA,syn63100173,syn60247822,syn60247822,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247822,syn60247822,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247823,collection_0000064666_2021-01-09_02_08_11.csv,1,142028065,collection_0000064666_2021-01-09_02_08_11.csv,65108,2207863524d4921cbd3de130723c3f81,CA263001-B371,NA,syn63100173,syn60247823,syn60247823,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247823,syn60247823,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247824,collection_0000064655_2021-01-09_00_51_34.csv,1,142028068,collection_0000064655_2021-01-09_00_51_34.csv,37277,38792208806e3dc44e78aa7885588296,CA263001-B283,NA,syn63100173,syn60247824,syn60247824,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247824,syn60247824,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247825,collection_0000064660_2021-01-09_01_18_29.csv,1,142028071,collection_0000064660_2021-01-09_01_18_29.csv,29429,3ef2c82efa9b110b53cbdac4f850cd46,CA263001-B347,NA,syn63100173,syn60247825,syn60247825,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247825,syn60247825,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247827,collection_0000064674_2021-01-11_17_53_11.csv,1,142028069,collection_0000064674_2021-01-11_17_53_11.csv,48758,1082fc56665ced519390add499b81892,CA263001-B272,NA,syn63100173,syn60247827,syn60247827,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247827,syn60247827,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247828,collection_0000064670_2021-01-12_11_13_13.csv,1,142028070,collection_0000064670_2021-01-12_11_13_13.csv,34913,ba6666c87ed4ddfa915af27ec8a01ed4,CA263001-B236,NA,syn63100173,syn60247828,syn60247828,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247828,syn60247828,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247829,collection_0000064690_2021-01-11_20_50_41.csv,1,142028073,collection_0000064690_2021-01-11_20_50_41.csv,7796,ce550d3e160accdab40819060d460811,CA263001-B372,NA,syn63100173,syn60247829,syn60247829,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247829,syn60247829,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247830,collection_0000064665_2021-01-09_01_55_28.csv,1,142028074,collection_0000064665_2021-01-09_01_55_28.csv,40985,ffe732bc3c2f02263ab7ef400f17e817,CA263001-B367,NA,syn63100173,syn60247830,syn60247830,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247830,syn60247830,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247831,collection_0000064680_2021-01-11_18_54_09.csv,1,142028078,collection_0000064680_2021-01-11_18_54_09.csv,19916,06f85aeccedde51068f57d4a0af7adc3,CA263001-B288,NA,syn63100173,syn60247831,syn60247831,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247831,syn60247831,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247832,collection_0000064659_2021-01-09_01_15_28.csv,1,142028075,collection_0000064659_2021-01-09_01_15_28.csv,59438,db67cd6a6fa34e50937d047cb3ce984e,CA263001-B343,NA,syn63100173,syn60247832,syn60247832,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247832,syn60247832,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247833,collection_0000064692_2021-01-11_21_09_08.csv,1,142028079,collection_0000064692_2021-01-11_21_09_08.csv,15683,119f827d0e669d646b3934cc3e9a5d28,CA263001-B336,NA,syn63100173,syn60247833,syn60247833,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247833,syn60247833,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247834,collection_0000064687_2021-01-11_20_15_53.csv,1,142028082,collection_0000064687_2021-01-11_20_15_53.csv,9617,952c2b1f7205b44acc847cb49c392688,CA263001-B360,NA,syn63100173,syn60247834,syn60247834,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247834,syn60247834,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247835,collection_0000064688_2021-01-11_20_29_04.csv,1,142028080,collection_0000064688_2021-01-11_20_29_04.csv,10073,e0e8b3354fe8ea28cc0b28182b71cfc8,CA263001-B364,NA,syn63100173,syn60247835,syn60247835,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247835,syn60247835,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247836,collection_0000064693_2021-01-11_21_19_19.csv,1,142028081,collection_0000064693_2021-01-11_21_19_19.csv,14994,0dc0f1a8cea4971c9baeb3f1b8ea5b28,CA263001-B340,NA,syn63100173,syn60247836,syn60247836,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247836,syn60247836,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247837,collection_0000064685_2021-01-11_19_54_38.csv,1,142028084,collection_0000064685_2021-01-11_19_54_38.csv,11468,32939983e9a0f828bdaa08ae7239480f,CA263001-B352,NA,syn63100173,syn60247837,syn60247837,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247837,syn60247837,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247838,collection_0000064658_2021-01-09_01_04_41.csv,1,142028083,collection_0000064658_2021-01-09_01_04_41.csv,27101,778e5881fdb676cd6af6aaef8960b906,CA263001-B327,NA,syn63100173,syn60247838,syn60247838,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247838,syn60247838,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247839,collection_0000064691_2021-01-11_21_00_23.csv,1,142028085,collection_0000064691_2021-01-11_21_00_23.csv,16145,adda2ba2c661cc207e006681662aea41,CA263001-B332,NA,syn63100173,syn60247839,syn60247839,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247839,syn60247839,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247841,collection_0000064677_2021-01-11_18_16_17.csv,1,142028087,collection_0000064677_2021-01-11_18_16_17.csv,10022,ab4c573816b051ea77824cefef440b67,CA263001-B316,NA,syn63100173,syn60247841,syn60247841,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247841,syn60247841,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247842,collection_0000064669_2021-01-09_02_36_34.csv,1,142028090,collection_0000064669_2021-01-09_02_36_34.csv,65030,d42ec7f60f7639c8bdb2803c2915ea65,CA263001-B339,NA,syn63100173,syn60247842,syn60247842,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247842,syn60247842,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
syn60247843,collection_0000064668_2021-01-09_02_26_21.csv,1,142028092,collection_0000064668_2021-01-09_02_26_21.csv,104777,3647e4955cca02c9f4ddc718a31958b6,CA263001-B335,NA,syn63100173,syn60247843,syn60247843,Hematoxylin and Eosin Staining Method,"Pathological partial annotations for image with the same basename, used to train MetFinder",NA,CSV,Level 3,,Liver,Melanoma,https://www.synapse.org/Synapse:syn60247843,syn60247843,CA263001-pcmr-2024,NA,NA,NA,NA,NA,NA,NA
