id,name,individualID,specimenID,Resource_id,assay,cellType,dataSubtype,dataType,diagnosis,disease,drugScreenType,fileFormat,isCellLine,isMultiIndividual,isMultiSpecimen,nf1Genotype,nf2Genotype,organ,resourceType,species,tissue,tumorType,fundingAgency,initiative,studyId,studyName
syn5613599,iPNF05.5_10x10_CCG_16h_calc.csv,ipNF05.5,ipNF05.5,5502caf5-4cf1-418f-bf50-164cfa316b0f,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613600,iPNF05.5_10x10_CCG_16h_metadata.csv,ipNF05.5,ipNF05.5,5502caf5-4cf1-418f-bf50-164cfa316b0f,cell viability assay,cultured cell,metadata,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613601,iPNF05.5_10x10_CCG_16h_responses.csv,ipNF05.5,ipNF05.5,5502caf5-4cf1-418f-bf50-164cfa316b0f,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613602,iPNF05.5_10x10_CTG_48h_calc.csv,ipNF05.5,ipNF05.5,5502caf5-4cf1-418f-bf50-164cfa316b0f,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613603,iPNF05.5_10x10_CTG_48h_metadata.csv,ipNF05.5,ipNF05.5,5502caf5-4cf1-418f-bf50-164cfa316b0f,cell viability assay,cultured cell,metadata,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613604,iPNF05.5_10x10_CTG_48h_responses.csv,ipNF05.5,ipNF05.5,5502caf5-4cf1-418f-bf50-164cfa316b0f,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613605,iPNF05.5_mixed_10x10_CCG_16h_calc.csv,ipNF05.5 (mixed clone),ipNF05.5 (mixed clone),844b598c-0171-4972-91c3-27aa21b45d52,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613606,iPNF05.5_mixed_10x10_CCG_16h_metadata.csv,ipNF05.5 (mixed clone),ipNF05.5 (mixed clone),844b598c-0171-4972-91c3-27aa21b45d52,cell viability assay,cultured cell,metadata,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613607,iPNF05.5_mixed_10x10_CCG_16h_responses.csv,ipNF05.5 (mixed clone),ipNF05.5 (mixed clone),844b598c-0171-4972-91c3-27aa21b45d52,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
syn5613608,iPNF05.5_mixed_10x10_CTG_48h_calc.csv,ipNF05.5 (mixed clone),ipNF05.5 (mixed clone),844b598c-0171-4972-91c3-27aa21b45d52,cell viability assay,cultured cell,processed,drugCombinationScreen,Neurofibromatosis type 1,Neurofibromatosis 1,combinationLibraryScreen,csv,Yes,No,Yes,-/-,+/+,nerves,experimentalData,Homo sapiens,nerve tissue,Plexiform Neurofibroma,NTAP,Cell Culture Initiative,syn4939906,Drug Screening of pNF Cell Lines
