id,name,assay,parentId,benefactorId,projectId,individualID,specimenID,nf1Genotype,age_months,cellType,consortium,dataSubtype,dataType,diagnosis,fileFormat,fundingAgency,isCellLine,nf2Genotype,organ,sex,species,study,tissue,disease,drugScreenType,fileType,isPrimaryCell,sampleIdentifier,timePointUnit,tissueType,analysisType,resourceType,differentialExpressionMethod,studyId,tumorType,Component,Uuid,accessTeam,accessType,averageBaseQuality,averageInsertSize,averageReadLength,eTag,entityId,expressionUnit,genomicReference,initiative,isStranded,libraryPreparationMethod,libraryStrand,pairsOnDifferentChr,platform,progressReportNumber,readsDuplicatedPercent,readsMappedPercent,reportMilestone,specimenPreparationMethod,studyName,totalReads,workflow,workflowLink,description,createdOn,createdBy,etag,modifiedOn,modifiedBy,path,type,currentVersion,dataFileHandleId,dataFileName,dataFileSizeBytes,dataFileMD5Hex,dataFileConcreteType,dataFileBucket,dataFileKey
syn20394881,EX16_FiPS_NC_1.fastq.gz,RNA-seq,syn20394571,syn20380009,syn4939918,IGTP_FIPS,EX16_FiPS_NC,NA,NA,NA,NA,raw,geneExpression,NA,fastq,NTAP,NA,NA,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,RNASeqTemplate,4c9859d9-7ccd-4b90-be83-92cdcf261e0f,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20394881,NA,NA,Open Proposal Program,Yes,TruSeq standard total RNA library kit,FirstStranded,NA,Illumina HiSeq 3000,NA,NA,NA,1,Fresh collected,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562328576804,3337130,788e67a6-e892-4374-ae22-e7d13f4bdde5,1695915263256,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/RNAseq/EX16_FiPS_NC_1.fastq.gz,file,1,41253661,EX16_FiPS_NC_1.fastq.gz,2802541580,b0a48dbf026757335f457d8ecd077072,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/00f7e3cd-3909-4753-aaab-2237abdd15d5/EX16_FiPS_NC_1.fastq.gz
syn20395068,FiPS_PSC_2.fastq.gz,RNA-seq,syn20394571,syn20380009,syn4939918,IGTP_FIPS,FiPS_PSC,NA,NA,NA,NA,raw,geneExpression,NA,fastq,NTAP,NA,NA,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,RNASeqTemplate,d756ad32-c0ce-4fcf-b962-5a5420fc3b7c,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20395068,NA,NA,Open Proposal Program,Yes,TruSeq standard total RNA library kit,FirstStranded,NA,Illumina HiSeq 3000,NA,NA,NA,1,Fresh collected,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562330334252,3337130,a96937c0-5e79-4272-9e47-14a1e8f67896,1695915265905,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/RNAseq/FiPS_PSC_2.fastq.gz,file,1,41253917,FiPS_PSC_2.fastq.gz,2642347669,3b0c9c6d7e20cbb200c5921a7127cff3,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/693b3d18-352c-40b7-8274-0e0d7d9d3777/FiPS_PSC_2.fastq.gz
syn20395354,5PNF_TDiPSsv_MM_PSC_1.fastq.gz,RNA-seq,syn20394571,syn20380009,syn4939918,IGTP_5,5PNF_TDiPSsv_MM_PSC,NA,NA,NA,NA,raw,geneExpression,NA,fastq,NTAP,NA,NA,NA,Male,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,RNASeqTemplate,5a1c06be-d10c-4fff-a004-b39729db11a0,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20395354,NA,NA,Open Proposal Program,Yes,TruSeq standard total RNA library kit,FirstStranded,NA,Illumina HiSeq 3000,NA,NA,NA,1,Fresh collected,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562332061227,3337130,04426d86-4749-4df1-917f-8f8dbbcee47f,1695915261880,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/RNAseq/5PNF_TDiPSsv_MM_PSC_1.fastq.gz,file,1,41254146,5PNF_TDiPSsv_MM_PSC_1.fastq.gz,2463235971,29cdc1bc8fa85efc42de5f6dff3eebc6,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/1c218de0-68af-4bd3-8315-82e24cac3e94/5PNF_TDiPSsv_MM_PSC_1.fastq.gz
syn20395754,3PNF_SiPSsv_MM_PSC_1.fastq.gz,RNA-seq,syn20394571,syn20380009,syn4939918,IGTP_3,3PNF_SiPSsv_MM_PSC,NA,NA,NA,NA,raw,geneExpression,NA,fastq,NTAP,NA,NA,NA,Female,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,RNASeqTemplate,c83fb4ac-066f-4687-af8b-f2735a4428dd,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20395754,NA,NA,Open Proposal Program,Yes,TruSeq standard total RNA library kit,FirstStranded,NA,Illumina HiSeq 3000,NA,NA,NA,1,Fresh collected,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562333850019,3337130,342db279-3dc9-464e-b4e0-3ce26ee340e0,1695915261536,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/RNAseq/3PNF_SiPSsv_MM_PSC_1.fastq.gz,file,1,41254590,3PNF_SiPSsv_MM_PSC_1.fastq.gz,2168367414,92703de6cdf8ce564455916a361c1b90,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/00a8cb86-ff3e-483e-a218-511685ca0b0e/3PNF_SiPSsv_MM_PSC_1.fastq.gz
syn20396142,EXP13_EXP14_3PNFiPS_5PNFiPS_14_2.fastq.gz,RNA-seq,syn20394571,syn20380009,syn4939918,IGTP_3_and_IGTP_5,EXP13_EXP14_3PNFiPS_5PNFiPS_14,NA,NA,NA,NA,raw,geneExpression,NA,fastq,NTAP,NA,NA,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,RNASeqTemplate,c0fdb0de-8d73-4001-acea-ceb40dcd9a6f,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20396142,NA,NA,Open Proposal Program,Yes,TruSeq standard total RNA library kit,FirstStranded,NA,Illumina HiSeq 3000,NA,NA,NA,1,Fresh collected,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562335428108,3337130,4fd9399f-d818-4310-958d-371d72dbe5bd,1695915265404,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/RNAseq/EXP13_EXP14_3PNFiPS_5PNFiPS_14_2.fastq.gz,file,1,41255042,EXP13_EXP14_3PNFiPS_5PNFiPS_14_2.fastq.gz,2144359590,c8401173beb5260014d8a5ac66c7ac00,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/7657b1b1-2c8c-4487-bbcb-c30a27705111/EXP13_EXP14_3PNFiPS_5PNFiPS_14_2.fastq.gz
syn20396544,FiPS_PSC_1.fastq.gz,RNA-seq,syn20394571,syn20380009,syn4939918,IGTP_FIPS,FiPS_PSC,NA,NA,NA,NA,raw,geneExpression,NA,fastq,NTAP,NA,NA,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,RNASeqTemplate,3ae9eb7b-5e4f-4d0e-bf6a-fa5841a67bca,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20396544,NA,NA,Open Proposal Program,Yes,TruSeq standard total RNA library kit,FirstStranded,NA,Illumina HiSeq 3000,NA,NA,NA,1,Fresh collected,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562337258630,3337130,b6bec2fb-56c9-4303-a428-100400f18ae8,1695915265821,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/RNAseq/FiPS_PSC_1.fastq.gz,file,1,41255858,FiPS_PSC_1.fastq.gz,2571252073,25fcd87da122db39463804ea432dbfcc,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/1cd42b24-477d-4ce5-bdf9-086a4df4844d/FiPS_PSC_1.fastq.gz
syn20396799,EXP10_5PNFiPS_14_1.fastq.gz,RNA-seq,syn20394571,syn20380009,syn4939918,IGTP_5,EXP10_5PNFiPS_14,NA,NA,NA,NA,raw,geneExpression,NA,fastq,NTAP,NA,NA,NA,Male,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,RNASeqTemplate,5ecedcb3-aa4c-4cb1-9ddc-9eed73386561,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20396799,NA,NA,Open Proposal Program,Yes,TruSeq standard total RNA library kit,FirstStranded,NA,Illumina HiSeq 3000,NA,NA,NA,1,Fresh collected,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562338925151,3337130,33892610-5921-42fd-b585-806020951100,1695915263940,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/RNAseq/EXP10_5PNFiPS_14_1.fastq.gz,file,1,41256196,EXP10_5PNFiPS_14_1.fastq.gz,2539210944,95c50bdfc347051d8e60181e9f9f1c9c,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/d7d1322b-e30e-4521-9e45-5d0c0be0871f/EXP10_5PNFiPS_14_1.fastq.gz
syn20397104,EXP10_5PNFiPS_14_2.fastq.gz,RNA-seq,syn20394571,syn20380009,syn4939918,IGTP_5,EXP10_5PNFiPS_14,NA,NA,NA,NA,raw,geneExpression,NA,fastq,NTAP,NA,NA,NA,Male,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,RNASeqTemplate,15edd9d9-4a6a-42e3-9d22-a741acd24f83,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20397104,NA,NA,Open Proposal Program,Yes,TruSeq standard total RNA library kit,FirstStranded,NA,Illumina HiSeq 3000,NA,NA,NA,1,Fresh collected,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562340784241,3337130,5460c4ce-8ef9-47b9-915e-5e0e30a4620f,1695915264031,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/RNAseq/EXP10_5PNFiPS_14_2.fastq.gz,file,1,41256614,EXP10_5PNFiPS_14_2.fastq.gz,2715637166,02f15a4ea3ceed083213dc751a7baa5e,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/6151496b-b2ea-491d-9681-ea2310740bde/EXP10_5PNFiPS_14_2.fastq.gz
syn20397359,EX15_FiPS_14_1.fastq.gz,RNA-seq,syn20394571,syn20380009,syn4939918,IGTP_FIPS,EX15_FiPS_14,NA,NA,NA,NA,raw,geneExpression,NA,fastq,NTAP,NA,NA,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,RNASeqTemplate,5906a9c6-66c0-4fa0-a923-97b0b77ce144,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20397359,NA,NA,Open Proposal Program,Yes,TruSeq standard total RNA library kit,FirstStranded,NA,Illumina HiSeq 3000,NA,NA,NA,1,Fresh collected,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562342486046,3337130,b8b592d0-e24b-4281-93b6-f0a60c58ea0d,1695915262068,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/RNAseq/EX15_FiPS_14_1.fastq.gz,file,1,41257055,EX15_FiPS_14_1.fastq.gz,2663460572,775cae9e38c1ced02912ab63cd5e4126,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/9e984eda-ab52-43b2-b7e0-243ec130b36f/EX15_FiPS_14_1.fastq.gz
syn20397610,EXP11_3PNFiPs_MM_14_1.fastq.gz,RNA-seq,syn20394571,syn20380009,syn4939918,IGTP_3,EXP11_3PNFiPs_MM_14,NA,NA,NA,NA,raw,geneExpression,NA,fastq,NTAP,NA,NA,NA,Female,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,experimentalData,NA,syn4939918,,RNASeqTemplate,0e3fdee4-6f09-47fe-9cb9-5faefa6848bc,3396402,REQUEST ACCESS,NA,NA,NA,NA,syn20397610,NA,NA,Open Proposal Program,Yes,TruSeq standard total RNA library kit,FirstStranded,NA,Illumina HiSeq 3000,NA,NA,NA,1,Fresh collected,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage,NA,NA,NA,NA,1562344061516,3337130,1295143d-e019-475e-9cc4-55d54b2f925d,1695915264444,3434950,Differentiation of NF1 heterozygous and NF1 homozygous iPS cells into cells of the Neural Crest-Schwann cell lineage/Raw Data/RNAseq/EXP11_3PNFiPs_MM_14_1.fastq.gz,file,1,41257384,EXP11_3PNFiPs_MM_14_1.fastq.gz,2502210208,b051afec0fd6754e12256639f52e4d64,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3337130/2dd2f787-9275-42df-a1ce-59be19c2c0c9/EXP11_3PNFiPs_MM_14_1.fastq.gz
