assay,cellType,dataSubtype,dataType,diagnosis,individualID,organ,platform,sex,species,specimenID,tissue,experimentalCondition,experimentalTimePoint,genePerturbationTechnology,genePerturbationType,genePerturbed,modelSystem,timePointUnit,transplantationDonorSpecies,transplantationDonorTissue,transplantationRecipientTissue,transplantationType,compoundDoseUnit,compoundName,drugScreenType,secondCompoundName,consortium,fileFormat,fundingAgency,resourceType,libraryPrep,readLength,readPairOrientation,readStrandOrigin,runType,nf1Genotype,nf2Genotype,study,id,name,createdOn,createdBy,etag,type,currentVersion,parentId,benefactorId,projectId,modifiedOn,modifiedBy,dataFileHandleId,studyId,studyName,readPair,tumorType,path
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,NA,NA,NA,NA,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,txt,CTF,experimentalData,NA,NA,NA,NA,NA,"+/-,-/-",unknown,NA,syn5004912,3096-PBK_FinalReport.txt,1445454798821,1418096,903c9050-8655-480a-82c7-19c6e1cc5d9d,file,1,syn5004874,syn4984617,syn4984604,1679363235393,3421893,6234725,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK_FinalReport.txt
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient1,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient1tumor3,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005453,3096-PBK-0047_Final.csv,1445458991168,1418096,8db94b68-0d9f-487d-aa5e-27e8603e097d,file,6,syn5004874,syn4984617,syn4984604,1679363235491,3421893,6234897,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0047_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient2,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient2tumor1,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005486,3096-PBK-0049_Final.csv,1445459120262,1418096,a5f8f83d-f166-44ba-add5-b3923594b961,file,6,syn5004874,syn4984617,syn4984604,1679363235553,3421893,6234902,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0049_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient2,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient2tumor8,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005513,3096-PBK-0051_Final.csv,1445459250615,1418096,f01173c3-b881-4283-bd0f-99a7acf63359,file,6,syn5004874,syn4984617,syn4984604,1679363235617,3421893,6234921,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0051_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient3,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient3tumor1,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005519,3096-PBK-0053_Final.csv,1445459396738,1418096,d717f08a-0214-4565-8910-cd793b29d1f1,file,6,syn5004874,syn4984617,syn4984604,1679363235681,3421893,6234929,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0053_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient3,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient3tumor2,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005526,3096-PBK-0054_Final.csv,1445459523072,1418096,cd61874a-0cc7-40d7-a0b5-7a5cc2f496f6,file,6,syn5004874,syn4984617,syn4984604,1679363235745,3421893,6234940,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0054_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient3,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient3tumor3,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005528,3096-PBK-0055_Final.csv,1445459691918,1418096,76b46ae5-e609-41cf-89cb-8b78d48869a8,file,6,syn5004874,syn4984617,syn4984604,1679363235810,3421893,6234945,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0055_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient3,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient3tumor4,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005529,3096-PBK-0056_Final.csv,1445459833491,1418096,7c882377-5aa6-4206-a6c6-c498c090da66,file,6,syn5004874,syn4984617,syn4984604,1679363235873,3421893,6234964,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0056_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient5,skin,Illumina Omni2pt5M,Male,Homo sapiens,patient5tumor5,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005530,3096-PBK-0063_Final.csv,1445460004854,1418096,94c9e2c4-4c25-442a-a5d9-f62d4414d00d,file,6,syn5004874,syn4984617,syn4984604,1679363235935,3421893,6234968,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0063_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient6,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient6tumor4,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005543,3096-PBK-0065_Final.csv,1445460177187,1418096,c01e3c65-e143-437b-a6a3-e5c96f08cfb5,file,6,syn5004874,syn4984617,syn4984604,1679363236005,3421893,6234989,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0065_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient6,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient6tumor5,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005558,3096-PBK-0066_Final.csv,1445460372918,1418096,a5842f9b-ad48-4ab4-abbc-0a10a46050bf,file,6,syn5004874,syn4984617,syn4984604,1679363236064,3421893,6235010,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0066_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient6,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient6tumor6,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005564,3096-PBK-0067_Final.csv,1445460490303,1418096,2ebb4ecb-f7d2-459d-9742-884db3a48177,file,6,syn5004874,syn4984617,syn4984604,1679363236130,3421893,6235033,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0067_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient6,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient6tumor7,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005571,3096-PBK-0068_Final.csv,1445460628905,1418096,7b6ac7a9-8d45-4b53-b433-ae1d07436a25,file,6,syn5004874,syn4984617,syn4984604,1679363236196,3421893,6235043,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0068_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient8,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient8tumor4,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005580,3096-PBK-0070_Final.csv,1445460752304,1418096,f5ee3211-a3be-45c6-932f-b7f140b037c8,file,6,syn5004874,syn4984617,syn4984604,1679363236277,3421893,6235056,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0070_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient8,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient8tumor5,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005585,3096-PBK-0071_Final.csv,1445460868385,1418096,b8fb5013-38a3-46b9-b843-505931b00df2,file,6,syn5004874,syn4984617,syn4984604,1679363236342,3421893,6235062,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0071_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient8,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient8tumor6,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005596,3096-PBK-0072_Final.csv,1445461020662,1418096,1a587b17-aba8-4cd8-aaff-57d57d7d9c82,file,6,syn5004874,syn4984617,syn4984604,1679363236406,3421893,6235092,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0072_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient9,skin,Illumina Omni2pt5M,Male,Homo sapiens,patient9tumor1,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005602,3096-PBK-0073_Final.csv,1445461236571,1418096,8982f1be-5981-4ecb-aa94-e3d84b801ad7,file,6,syn5004874,syn4984617,syn4984604,1679363236468,3421893,6235107,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0073_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient9,skin,Illumina Omni2pt5M,Male,Homo sapiens,patient9tumor3,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005607,3096-PBK-0074_Final.csv,1445461441482,1418096,c4c001b3-02fb-4a28-b742-af2568241816,file,6,syn5004874,syn4984617,syn4984604,1679363236530,3421893,6235113,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0074_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient9,skin,Illumina Omni2pt5M,Male,Homo sapiens,patient9tumor6,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005616,3096-PBK-0076_Final.csv,1445461655669,1418096,d58c6869-d1d3-4b8c-ba10-4ce6dfe6b46d,file,6,syn5004874,syn4984617,syn4984604,1679363236602,3421893,6235138,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0076_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient10,skin,Illumina Omni2pt5M,Male,Homo sapiens,patient10tumor1,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005624,3096-PBK-0077_Final.csv,1445461813584,1418096,7dead9a8-a119-4116-be49-246e51547d7c,file,6,syn5004874,syn4984617,syn4984604,1679363236667,3421893,6235148,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0077_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient10,skin,Illumina Omni2pt5M,Male,Homo sapiens,patient10tumor2,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005630,3096-PBK-0078_Final.csv,1445461946587,1418096,48d532d4-1d35-414b-996b-6f46a22ea1b5,file,6,syn5004874,syn4984617,syn4984604,1679363236726,3421893,6235155,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0078_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient10,skin,Illumina Omni2pt5M,Male,Homo sapiens,patient10tumor3,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005635,3096-PBK-0079_Final.csv,1445462085817,1418096,85bff140-f865-4a31-8015-c7098121f51f,file,6,syn5004874,syn4984617,syn4984604,1679363236787,3421893,6235161,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0079_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient10,skin,Illumina Omni2pt5M,Male,Homo sapiens,patient10tumor4,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005640,3096-PBK-0080_Final.csv,1445462210384,1418096,b0267d2c-eda4-4b84-b51a-22e29c1dc91b,file,6,syn5004874,syn4984617,syn4984604,1679363236852,3421893,6235181,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0080_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient11,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient11tumor1,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5005650,3096-PBK-0081_Final.csv,1445462339782,1418096,055d68dd-0657-4132-801f-91a31ebce453,file,6,syn5004874,syn4984617,syn4984604,1679363236914,3421893,6235192,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0081_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient1,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient1tumor9,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5006081,3096-PBK-0090_Final.csv,1445470155174,1418096,fc9103fb-7a40-474e-b746-da57c7d7ac8a,file,6,syn5004874,syn4984617,syn4984604,1679363236979,3421893,6235838,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0090_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient2,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient2tumor4,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5006084,3096-PBK-0091_Final.csv,1445470214162,1418096,e96d23f4-a496-4797-ad6e-6fc7282c94cd,file,6,syn5004874,syn4984617,syn4984604,1679363237039,3421893,6235842,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0091_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient1,blood,Illumina Omni2pt5M,Female,Homo sapiens,patient1pbmc,blood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,+/-,unknown,NA,syn5006089,3096-PBK-0103_Final.csv,1445470267387,1418096,7c29c0fa-469a-4a4f-89b9-ee6e6abe3dde,file,6,syn5004874,syn4984617,syn4984604,1679363237102,3421893,6235848,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0103_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient2,skin,Illumina Omni2pt5M,Female,Homo sapiens,patient2tumor6,primary tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,-/-,unknown,NA,syn5006090,3096-PBK-0092_Final.csv,1445470270577,1418096,800762b5-89eb-4c5f-9af2-103e5bc97b76,file,6,syn5004874,syn4984617,syn4984604,1679363237163,3421893,6235849,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0092_Final.csv
SNP array,NA,processed,genomicVariants,Neurofibromatosis type 1,patient2,blood,Illumina Omni2pt5M,Female,Homo sapiens,patient2pbmc,blood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,csv,CTF,experimentalData,NA,NA,NA,NA,NA,+/-,unknown,NA,syn5006094,3096-PBK-0104_Final.csv,1445470325354,1418096,c22dd844-268f-4c66-8691-fcd94700da9b,file,6,syn5004874,syn4984617,syn4984604,1679363237225,3421893,6235857,syn4984604,Cutaneous Neurofibroma Data Resource,NA,,Cutaneous Neurofibroma Data Resource/Data/SNP/3096-PBK-0104_Final.csv
