name,dataSubtype,dataType,fileFormat,individualID,resourceType,specimenID,studyId,tumorType,nf1Genotype,nf2Genotype,cellType,diagnosis,studyName,drugScreenType,assay,species,fundingAgency,isCellLine,initiative,organ,tissue,isMultiIndividual,isMultiSpecimen
iPN02.3l_6x6_CTG_48h_calc.csv,processed,drugCombinationScreen,csv,ipn02.3,experimentalData,ipn02.3,syn4939906,Plexiform Neurofibroma,+/+,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPN02.3l_6x6_CTG_48h_metadata.csv,metadata,drugCombinationScreen,csv,ipn02.3,experimentalData,ipn02.3,syn4939906,Plexiform Neurofibroma,+/+,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPN02.3l_6x6_CTG_48h_responses.csv,processed,drugCombinationScreen,csv,ipn02.3,experimentalData,ipn02.3,syn4939906,Plexiform Neurofibroma,+/+,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
ipNF05.5_6x6_CTG_48h_calc.csv,processed,drugCombinationScreen,csv,ipNF05.5,experimentalData,ipNF05.5,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
ipNF05.5_6x6_CTG_48h_metadata.csv,metadata,drugCombinationScreen,csv,ipNF05.5,experimentalData,ipNF05.5,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
ipNF05.5_6x6_CTG_48h_responses.csv,processed,drugCombinationScreen,csv,ipNF05.5,experimentalData,ipNF05.5,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF05.5_mixed_6x6_CTG_48h_calc.csv,processed,drugCombinationScreen,csv,ipNF05.5 (mixed clone),experimentalData,ipNF05.5 (mixed clone),syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF05.5_mixed_6x6_CTG_48h_metadata.csv,metadata,drugCombinationScreen,csv,ipNF05.5 (mixed clone),experimentalData,ipNF05.5 (mixed clone),syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
iPNF05.5_mixed_6x6_CTG_48h_responses.csv,processed,drugCombinationScreen,csv,ipNF05.5 (mixed clone),experimentalData,ipNF05.5 (mixed clone),syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
ipNF95.6_6x6_CTG_48h_calc.csv,processed,drugCombinationScreen,csv,ipNF95.6,experimentalData,ipNF95.6,syn4939906,Plexiform Neurofibroma,-/-,+/+,cultured cell,Neurofibromatosis type 1,Drug Screening of pNF Cell Lines,combinationLibraryScreen,cell viability assay,Homo sapiens,NTAP,Yes,Cell Culture Initiative,nerves,nerve tissue,No,Yes
